Flour,Milk,Water,Egg,Butter,Salt
0.5c,0.75c,0g,2large,2tbsp,0.25tsp
1c,2c,0g,1medium,1tbsp,0g
1c,0.5cup,0.5c,2medium,2tbsp,0.25tsp
1.5c,2c,0g,3medium,2tbsp,0.25tsp
1cup,1.75c,0g,6medium,4tbsp,1tsp
1c,1c,0g,1medium,0g,0.25tsp
0.5cup,1c,0g,2medium,1tbsp,0.125tsp
1.5c,2c,0g,3medium,0g,1pinch
1c,0.5c,0.5c,2medium,0g,0g
2c,1c,1c,4medium,6tbsp,0g
1c,0.75c,0.5c,2large,3tbsp,0g
6tbsp,0g,0.25c,2medium,0g,0.5tsp
0.666c,1c,0g,3medium,0g,0.5tsp
13.5oz,3.333c,0g,4medium,10oz,2pinch
0.5c,1c,0g,4large,0g,1dash
1c,0.5c,235ml,2medium,2tbsp,0.25tsp
1.5c,2c,0g,2medium,4oz,1pinch
1.25c,1.25c,0g,1medium,2tbsp,1pinch
1c,1.333c,0g,3large,3tbsp,0.25tsp
1c,0.25c,0.25c,2medium,3tbsp, 1 pinch
1c,0.75c,0.25c,4medium,3tbsp,0.25tsp
0.5c,0.75c,0g,2medium,1tbsp,1dash
1cup,1.5c,0g,4medium,0g,1dash
1c,0.75c,0.75c,2medium,2tbsp,0.5tsp
1c,1.5c,0g,2large,20ml,0.25tsp
1c,1c,0g,2large,2tbsp,0g
0.875c,1.5c,0g,3medium,2tbsp,1dash
1.25c,1c,1c,3medium,0g,1pinch
0.5c,1c,0g,2medium,1.25tbsp,0g
1.5c,1c,6tbsp,1medium,0g,0g
0.5c,0.5c,0g,2medium,0g,0.25tsp
2c,2c,1c,4large,1tbsp,0.5tsp
6tbsp,9tbsp,0g,6medium,0g,0g
1c,2c,0g,2medium,0.25c,2pinch
2c,2.5c,0g,4medium,0.025c,0.25tsp
1c,1.25c,0g,3medium,0.25c,1dash
1c,1c,0g,2medium,0g,0.25tsp
2c,1.333c,1.5c,4large,0.25c,0.74tsp
0.5c,0.75c,0g,2large,2tbsp,0.25tsp
0.5c,1c,0g,1large,1tbsp,0.5tsp
1c,0.5c,235ml,2medium,0g,0.25g
1c,1.5c,0g,3large,4tbsp,1pinch
0.8c,1.25c,2tbsp,3large,6tbsp,0.25tsp
1c,0.5c,235ml,2medium,2tbsp,0.25tsp
1c,1.5c,0g,4large,3tbsp,0.25tsp
1c,1c,0g,2large,2tbsp,1pinch
1c,0.75c,0.5c,2large,3tbsp,0.25tsp
1c,2.5c,0g,5large,0.75sticks,0.75tsp
0.666c,1c,0g,2large,1tbsp,0.25tsp
1c,1.5c,0g,2large,0g,0.25tsp
0.5c,0.75c,0g,2medium,0g,1dash
0.5c,0.5c,0g,2large,1tbsp,0g
1c,1c,0g,3medium,1tbsp,0g
0.25c,0.5c,0g,1medium,1tbsp,0.25tsp
0.5c,0.5c,0g,2medium,0g,0.5tsp
0.5c,0.75c,0g,2large,2tbsp,0.5tsp
0.5c,0.5c,0g,2medium,1tbsp,0.5tsp
2c,2c,0g,3large,0.25sticks,1tsp
1.25c,1.5c,0g,3medium,2tbsp,1dash
0.666c,1c,0g,3medium,0g,0.5tsp
1c,1.5c,0g,3medium,3tbsp,0g
100g,200ml,0g,2medium,0g,0g
0.75c,1.333c,0g,3large,6tbsp,1pinch
0.75c,1.25c,0g,3medium,2tbsp,0.25tsp
0.75c,1c,0g,3medium,3tbsp,0.25tsp
0.5c,1.25c,0g,2large,4tbsp,1pinch
0.666c,1c,0g,3large,3tbsp,0g
2c,2c,0.5c,6l,1stick,0.25tsp
1.75c,2c,0g,1medium,158ml,0g
125g,350ml,0g,3medium,105ml,0g
215g,2c,0g,4large,5tbsp,0.5tsp
0.5c,0.75c,0g,2medium,0g,0g
0.666c,1c,0g,3large,3tbsp,0.25tsp
1c,0.5c,0g,2medium,1tbsp,0g
3tbsp,0.333c,0g,1large,2tsp,1dash
110g,175ml,0g,2large,1knob,1pinch
1c,1.25c,0g,1medium,0g,1pinch
0.667c,1.5c,0g,3large,2tbsp,0.5tsp
1c,0.5c,0.5c,4medium,2tbsp,0.5tsp
1c,1.5c,0g,2medium,0.25c,0.25tsp
0.5c,1.5c,0g,4large,3tbsp,1pinch
1c,1c,0.5c,3large,3tbsp,1pinch
1c,0.5c,110ml,2medium,2tbsp,0g
3tbsp,0.333c,0g,1large,2tsp,0g
1c,1c,0g,2large,2tbsp,0.25tsp
1c,1.5c,0g,4medium,3tbsp,1dash
100g,100ml,0g,2medium,2tbsp,0g
1c,280ml,0g,2medium,2tbsp,0.25tsp
0.5c,1c,0g,2medium,3tbsp,0g
155ml,227ml,0g,2large,50ml,0.75tsp
0.5c,0.666c,0g,2medium,1tbsp,0.25tsp
1.25c,1.5c,0g,1large,1tbsp,0g
0.75c,0.75c,0g,2.5medium,1.5tbsp,1dash
1c,1.5c,0g,2medium,1tbsp,0.25tsp
1c,1.25c,0g,3medium,2tbsp,1pinch
80g,140ml,0g,2.5medium,20g,1pinch
1c,0.5c,235ml,2medium,2tbsp,0.25tsp
1c,1c,0g,3medium,5tbsp,0.25tsp
0.666c,0.75c,0g,1large,0g,0g
1c,1c,0.5c,4large,4tbsp,0.25tsp
0.75c,1.25c,0g,3medium,2tbsp,0.25tsp
1.5c,2c,0g,4medium,0g,0.5tsp
1c,1.5c,0g,3medium,3tbsp,1tsp
1c,1c,0g,3medium,1tbsp,0.5tsp
1.5c,1.333c,1c,2medium,5tbsp,0.25tsp
2c,1c,0g,3medium,6tbsp,0.25tsp
1c,1.25c,0g,3large,2tbsp,1pinch
1c,0.5c,0g,3large,2tbsp,0.25tsp
0.875c,1.5c,0g,3medium,2tbsp,1dash
0.5c,0.5c,0.25c,2large,2tbsp,0.5tsp
1.5c,2c,0g,2medium,0g,0.5tsp
1.75c,3.5c,0g,8medium,3tbsp,0.5tsp
0.75c,1c,0g,3medium,1tbsp,0.25tsp
0.5c,0.5c,0g,1large,2tbsp,0g
2c,1c,1c,4large,0.25c,0.5tsp
125g,250ml,0g,1medium,0g,1pinch
1c,1c,0g,6large,0g,1tsp
280ml,1.5c,0g,3large,1tsp,0.25tsp
217ml,1.5c,0g,3large,2tbsp,1dash
100g,225ml,0g,1medium,0g,0.25tsp
0.666c,1.5c,0g,3medium,2tbsp,0.5tsp
0.5c,0.5c,0g,2medium,0g,0.5tsp
1c,1c,0g,4medium,0g,1dash
1c,1c,0.333c,1large,2tbsp,0.25tsp
137.5ml,1c,0g,1medium,0g,0.5tsp
0.75c,1c,0g,1medium,0g,1dash
125g,150ml,150ml,1medium,1tbsp,1pinch
120g,300ml,0g,2large,25g,0.5tsp
1.5c,1c,0g,4medium,4tbsp,1pinch
1c,1c,0.25c,1large,2tbsp,0.25tsp
1c,0.5c,0.5c,3medium,0g,0g
0.5c,0.5c,0.25c,2large,2tbsp,1pinch
1c,0.5c,0g,3large,2tsp,0.25tsp
125g,2c,0g,1medium,0g,0g
1c,1c,0g,4medium,1tbsp,0.5tsp
1c,0.5c,0.75c,2large,0.75tbsp,0g
1c,1c,0g,2medium,1tbsp,0g
1tbsp,2tsp,0g,2medium,0g,0g
2c,2.5c,0g,1medium,75g,1pinch
150ml,375ml,0g,3large,30ml,0.5ml
0.333c,1.75c,0g,4medium,0g,0.5tsp
115g,280ml,0g,1medium,1tbsp,1pinch
0.5c,0.5c,0g,2medium,1tbsp,0.25tsp
1c,1.5c,0g,2medium,1tbsp,0g
0.666c,0.666c,0g,1medium,0.5tbsp,1dash
280ml,1.5c,0g,2medium,1tbsp,1pinch
0.5c,0.333c,0.5c,1large,0.5tsp,0.25tsp
1c,1c,0.5c,2medium,2tbsp,0.25tsp
1c,1.5c,0g,4medium,0g,1dash
196.5ml,1c,0g,1large,0g,0.25tsp
0.75c,1c,0g,3medium,1tbsp,0.25tsp
125g,1.25c,0g,2medium,3tbsp,1pinch
200g,375ml,0g,3medium,0g,0.5tsp
0.5c,0.75c,0g,1medium,0.5tsp,1dash
2c,2c,0.5c,2large,0.25c,0.25tsp
1c,1c,6tbsp,4large,0g,0.5tsp
2c,1c,0g,4large,0.25c,0.5tsp
1c,0.5c,0.5c,4medium,2tbsp,0.5tsp
100g,250ml,0g,2medium,25g,1pinch
1c,1.5c,0.5c,3large,5tbsp,1tsp
0.666c,1c,0g,3medium,2tbsp,0g
1c,0.75c,0.5c,1large,3tbsp,0g
240g,350ml,0g,1medium,1tbsp,0g
0.75c,0.333c,0.333c,2medium,2tbsp,0g
1c,1c,0g,1large,0g,0.5tsp
.5c,.5c,0,1.5medium,2tb,1pinch
.5c,.75c,0,1medium,.5tb,0
.5c,1c,0,3large,2tb,.5tsp
60g,180ml,0,2medium,0,1pinch
1c,1.333c,0,4medium,2tb,.5tsp
1.5c,1.25c,0,2medium,0,0
.75c,1c,0,3medium,3tb,.75tsp
1c,2c,0,3medium,0,1pinch
1c,1.25c,0,2medium,0,0
1c,.5c,.5c,2medium,2tb,.25tsp
1c,.75c,.5c,2large,3tb,0
1.5c,1c,1c,4large,4tb,.5tsp
200g,250ml,0,2medium,50g,0
1.5c,2c,0,2medium,2tb,.5tsp
2c,2c,0,2large,2tb,0
.75c,1.5c,0,3medium,1tb,1pinch
