Flour,Milk,Water,Egg,Butter,Salt
250g,50cl,0,3eu medium,2metric tb,.5metric tsp
250g,.5l,0,4eu medium,50g,1pinch
125g,25cl,0,2eu medium,20g,0
300g,500ml,0,6eu medium,50g,0
250g,.5l,0,3eu medium,50g,5g
150g,250g,0,150g,20g,1.5g
125g,25cl,0,2eu medium,40g,1pinch
65g,25cl,0,2eu medium,0,1pinch
250g,75cl,0,6eu medium,145g,0
225g,.5l,0,2eu medium,50g,0
125g,25g,0,2eu medium,40g,1pinch
250g,.5l,0,6eu medium,150g,0
250g,.5l,0,3eu medium,2metric tb,1pinch
125g,15cl,10cl,1l,20g,1pinch
250g,500ml,0,3eu medium,1metric tb,1pinch
125g,.5l,0,3eu medium,50g,1pinch
80g,2dl,0,4eu medium,30g,0
230g,.5l,0,2eu medium,0,1pinch
350g,40cl,0,4eu large,0,1pinch
300g,4metric cup,0,3eu medium,0,1pinch
250g,25cl,0,3eu medium,2metric tb,1pinch
115g,.25l,0,1eu medium,25g,1pinch
250g,50cl,0,3eu medium,2metric tb,1pinch
250g,5.5dl,0,3eu medium,10g,2.5g
250g,.5l,0,4eu medium,50g,1pinch
80g,2dl,0,4eu medium,30g,0
115g,.25l,0,1eu medium,0,1pinch
300g,75cl,0,1eu medium,0,2pinch
250g,.5l,0,3eu medium,50g,1pinch
250g,.5l,0,3eu medium,30g,0
250g,.5l,0,4eu medium,50g,0
500g,1l,0,6eu medium,25g,1pinch
200g,50cl,0,4eu medium,2metric tb,1pinch
125g,25cl,0,1eu medium,10g,1pinch
200g,.5l,4metric tb,4eu medium,25g,5g
250g,25cl,50cl,4eu medium,100g,1pinch
160g,.5l,0,4eu medium,2metric tb,1pinch
1kg,1l,0,5eu medium,0,1pinch
300g,75g,15cl,6eu medium,50g,1pinch
250g,.5l,0,6eu medium,150g,0
250g,.5l,0,4eu medium,50g,1pinch
125g,25cl,0,2eu medium,30g,1pinch
250g,.5l,0,3eu medium,2metric tb,1pinch
175ml,250ml,0,3eu medium,15ml,.5ml
125g,.5l,0,3eu medium,50g,1pinch
150g,0,.25l,4.5eu medium,80g,1pinch
80g,2dl,0,4eu medium,30g,0
230g,.5l,0,2eu medium,0,1pinch
200g,15cl,25cl,1eu medium,40g,.5metric tsp
112.5g,.5l,0,2eu medium,20g,2g
125g,.25l,0,3eu medium,3metric tb,1pinch
250g,.5l,0,4eu medium,150g,0
200g,30cl,0,4eu medium,0,1pinch
225g,.5l,0,2eu medium,50g,0
200g,15cl,25cl,1eu medium,1cas,.5cac
200g,250ml,0,2eu medium,1cas,1pinch
120g,.5l,0,1eu medium,25g,0
400g,1l,0,8eu medium,40g,0
125g,25cl,0,2eu medium,25g,3g
115g,.25l,0,1eu medium,25g,1pinch
200g,500ml,0,3eu medium,50g,1pinch
250ml,375ml,0,3medium,45ml,1ml
200g,50cl,6cl,4eu medium,20g,1cac
250g,500ml,0,4eu medium,2cas,1pinch
150g,25cl,0,2eu medium,20g,0
250g,.5l,0,3eu medium,0,1pinch
250g,500ml,0,3eu medium,40g,1pinch
2metric cups,4metric cups,0,3eu medium,0,1pinch
125g,3dl,2cas,3eu medium,30g,5g
150g,30cl,0,3eu medium,65g,.5cac
125g,250ml,0,1eu medium,10g,0
400g,1liter,5cl,5eu medium,70g,1pinch
125g,25cl,0,2eu medium,30g,1pinch
400g,1liter,0,8eu medium,40g,0
450g,1l,0,3eu medium,0,1pinch
125g,25cl,0,2eu medium,25g,3g
500g,1l,0,6eu medium,25g,1pinch
400g,1liter,0,4eu medium,100g,0
250g,50cl,0,3eu medium,50g,0
225g,.5l,0,2eu medium,50g,1pinch
150g,10cl,16cl,2eu medium,50g,1pinch
240g,500ml,0,2eu medium,50g,1cac
250g,125ml,125ml,4eu medium,100g,1pinch
500g,.5l,0,3eu medium,50g,1pinch
225g,50cl,0,2eu medium,40g,1pinch
450g,1l,5cl,6eu medium,50g,1cac
100g,150g,0,2eu medium,0,1pinch
230g,.5l,0,2eu medium,0,1pinch
100g,25cl,0,2eu medium,10g,1cac
115g,.25l,0,1eu medium,25g,1pinch
125g,350ml,0,2eu medium,20g,1pinch
125g,2.5dl,0,2eu medium,30g,1pinch
60g,.25l,0,1eu large,0,1pinch
250g,50cl,0,4eu medium,24g,1pinch
200g,.5l,0,4eu medium,40g,0
115g,.25l,0,1eu medium,0,1pinch
250g,.5l,0,3eu medium,50g,1pinch
250g,.5l,0,4eu medium,0,1pinch
260g,.5l,0,3eu medium,50g,0
250g,.5l,0,4eu medium,50g,1pinch
200g,50cl,0,2eu medium,1cas,4g
125g,25cl,0,2eu medium,0,0
500g,1l,0,5eu medium,0,0
