Flour,Milk,Water,Egg,Butter,Salt
185g,2.25dl,0,1eu medium,0,0
1.5dl,3dl,0,3eu medium,2msk,1.5tsk
6.5dl,1.5l,0,5eu medium,25g,1pinch
1dl,4dl,0,4eu medium,3msk,.5tsk
4dl,8dl,0,4eu medium,50g,1tsk
2.5dl,6dl,0,2eu medium,2msk,1tsk
2.5dl,5dl,0,3eu medium,1msk,1krm
3dl,6dl,0,3eu medium,2.5msk,.5tsk
125g,3dl,0,2eu medium,30g,1krm
3dl,6dl,0,2eu large,0,0
3dl,6dl,0,2eu medium,2msk,1pinch
3dl,6dl,0,3eu medium,5msk,.5tsk
3dl,6dl,0,1eu medium,0,1pinch
3dl,6dl,0,3eu medium,2msk,1tsk
2dl,3dl,0,2eu medium,0,2krm
4dl,8dl,0,2eu medium,0,0
1.25dl,2.5dl,0,1eu medium,.5msk,.25tsk
3dl,4dl,0,4eu medium,50g,1tsk
2dl,5dl,0,2eu medium,0,1pinch
2dl,3dl,0,2eu medium,1msk,2krm
2dl,5dl,0,5eu medium,0,.5tsk
2.5dl,4dl,0,2eu medium,0,.5tsk
2dl,4dl,0,3eu medium,50g,1krm
2.75dl,6dl,0,3eu medium,2.5dl,.5tsk
2.5dl,3dl,0,3eu medium,0,1pinch
1.25dl,2.5dl,0,1eu medium,.5tsk,.25tsk
2.5dl,5dl,0,2.5eu medium,0,1pinch
1dl,3dl,0,3eu medium,2msk,.5tsk
3dl,6dl,0,2eu medium,2msk,1tsk
2.5dl,5.5dl,0,3eu medium,50g,.5tsk
4dl,8dl,0,3eu medium,0,.75tsk
3dl,6dl,0,2eu medium,1msk,.5tsk
5.5dl,1l,0,4eu medium,0,.5tsk
2.5dl,4.5dl,1dl,2eu medium,1msk,1tsk
2.5dl,6dl,0,3eu medium,3.5msk,0.5tsk
5dl,5dl,0,5eu medium,1msk,1krm
4dl,6dl,0,2eu medium,50g,.5krm
5.5dl,1l,0,4eu medium,0,.5tsk
2.5dl,6dl,.5dl,3eu medium,0,.5tsk
.75dl,2dl,0,1eu medium,1msk,1krm
2msk,1.5dl,0,1eu medium,1tsk,1krm
4dl,5dl,0,3eu medium,3msk,.5tsk
2.5dl,6dl,0,3eu medium,50g,.5tsk
2dl,4dl,0,2eu medium,1msk,1krm
2.5dl,6dl,.5dl,3eu medium,3msk,.5tsk
4dl,8dl,0,2eu medium,25g,0
2dl,3dl,0,3eu medium,2msk,.5tsk
1.5dl,6dl,0,3eu medium,0,.5tsk
4dl,8dl,0,3eu medium,0,.75tsk
3dl,6dl,0,2eu medium,2msk,1pinch
2.5dl,4dl,2dl,3eu medium,1.5msk,.5tsk
3dl,6dl,0,2eu medium,2.5msk,1krm
4dl,3.5dl,0,4eu medium,0,1krm
3dl,6dl,0,2eu medium,50g,0
2dl,5dl,0,2eu medium,4msk,1pinch
2.5dl,3dl,0,4eu medium,125g,1krm
3dl,6dl,0,3eu medium,0,0
2.5dl,5dl,0,4eu medium,0,1krm
1.4dl,2.5dl,0,1eu medium,0,1pinch
2.5dl,5dl,0,2eu medium,200ml,1krm
2.5dl,6dl,0,3eu medium,2msk,2tsk
4dl,6dl,0,3eu medium,1msk,1pinch
4dl,8dl,0,4eu medium,0,1tsk
1.5dl,3dl,0,2eu small,1.5msk,1krm
1.5dl,6dl,0,3eu medium,0,.5tsk
1.5dl,3dl,0,2eu medium,1tsk,1pinch
4dl,1l,0,3eu medium,0,1pinch
1dl,4dl,0,4eu medium,0,.5tsk
4dl,8dl,0,2eu medium,0,.5tsk
2dl,6.15dl,0,4eu medium,0,.5tsk
2dl,2.5dl,0,2eu medium,2msk,.5tsk
2.5dl,6dl,0,3eu medium,50g,.5tsk
1.5dl,3dl,0,2eu medium,2msk,1krm
3dl,6dl,0,2eu medium,0,.5tsk
2.5dl,5dl,0,3eu medium,50g,1tsk
3dl,6dl,1dl,2eu medium,2msk,.5tsk
2.5dl,4.5dl,0,3eu medium,50g,1dash
2dl,4dl,0,3eu medium,2msk,1krm
2.5dl,2.75dl,0,3eu medium,2msk,.5tsk
3dl,6dl,0,3eu medium,1msk,2krm
.5l,.5l,1.5dl,3eu medium,50g,1pinch
1hg,6dl,0,3eu medium,0,1krm
4dl,6dl,0,2eu medium,50g,.5krm
3dl,6dl,0,3eu medium,3msk,.5tsk
4dl,6dl,0,2eu medium,25g,1tsk
1dl,3dl,0,3eu medium,2msk,.5tsk
1dl,3dl,0,3eu medium,2msk,.5tsk
2.5dl,6dl,0,3eu medium,2.5msk,.5tsk
3dl,5.5dl,0,3eu medium,30g,2pinch
2dl,4dl,0,1eu medium,0,.5tsk
1.5dl,1.5dl,0,2eu medium,37.5g,.5krm
